 Time,Division,Ensemble,Scenario,Percentile,tasmax,tasmin,pr
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -20.20,  -33.80,    0.00      
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -20.10,  -33.50,    0.00      
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -20.00,  -32.90,    0.00      
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -19.50,  -32.00,    0.10      
1950-02-09 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -20.03,  -33.31,    0.01      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -16.70,  -31.60,    0.00      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -16.50,  -31.40,    0.00      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -16.40,  -31.20,    0.00      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -16.30,  -31.20,    0.00      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P100,  -16.20,  -30.80,    0.10      
1950-02-10 12:00:00,0101,ACCESS1-0_r1i1p1,historical,MEAN,  -16.41,  -31.27,    0.01      
1950-02-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P000,  -15.80,  -30.20,    0.90      
1950-02-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P025,  -15.10,  -28.70,    1.00      
1950-02-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P050,  -14.70,  -27.80,    1.00      
1950-02-11 12:00:00,0101,ACCESS1-0_r1i1p1,historical,P075,  -14.50,  -27.30,    1.00      
